Ticket Id	Date (Ticket Created)	Product*	Month/Year (Ticket Created)	# CIRTs
1	9/2/2015	Product1	15-Sep	1
2	9/9/2015	Product1	15-Sep	1
3	9/2/2015	Product1	15-Sep	1
4	9/8/2015	Product1	15-Sep	1
5	9/8/2015	Product1	15-Sep	1
6	9/15/2015	Product1	15-Sep	1
7	9/10/2015	Product1	15-Sep	1
8	9/8/2015	Product1	15-Sep	1
9	9/22/2015	Product1	15-Sep	1
10	9/16/2015	Product2	15-Sep	1
11	9/23/2015	Product2	15-Sep	1
12	9/17/2015	Product2	15-Sep	1
13	9/11/2015	Product2	15-Sep	1
14	9/29/2015	Product2	15-Sep	1
15	9/30/2015	Product2	15-Sep	1
16	9/2/2015	Product2	15-Sep	1
17	9/1/2015	Product2	15-Sep	1
18	9/6/2015	Product2	15-Sep	1
19	9/10/2015	Product2	15-Sep	1
20	9/16/2015	Product2	15-Sep	1
21	9/1/2015	Product2	15-Sep	1
22	9/1/2015	Product2	15-Sep	1
23	9/2/2015	Product2	15-Sep	1
24	9/2/2015	Product2	15-Sep	1
25	9/2/2015	Product2	15-Sep	1
26	9/2/2015	Product2	15-Sep	1
27	9/2/2015	Product2	15-Sep	1
28	9/1/2015	Product2	15-Sep	1
29	9/4/2015	Product2	15-Sep	1
30	9/8/2015	Product2	15-Sep	1
31	9/11/2015	Product3	15-Sep	1
32	9/15/2015	Product3	15-Sep	1
33	9/15/2015	Product3	15-Sep	1
34	9/16/2015	Product3	15-Sep	1
35	9/17/2015	Product3	15-Sep	1
36	9/18/2015	Product3	15-Sep	1
37	9/16/2015	Product3	15-Sep	1
38	9/21/2015	Product3	15-Sep	1
39	9/22/2015	Product3	15-Sep	1
40	9/2/2015	Product3	15-Sep	1
41	9/3/2015	Product3	15-Sep	1
42	9/3/2015	Product3	15-Sep	1
43	9/3/2015	Product4	15-Sep	1
49	10/3/2015	Product1	15-Oct	1
50	10/13/2015	Product1	15-Oct	1
51	10/21/2015	Product1	15-Oct	1
52	10/18/2015	Product1	15-Oct	1
53	10/1/2015	Product1	15-Oct	1
54	10/6/2015	Product1	15-Oct	1
55	10/26/2015	Product1	15-Oct	1
56	10/1/2015	Product1	15-Oct	1
57	10/2/2015	Product1	15-Oct	1
58	10/29/2015	Product2	15-Oct	1
59	10/3/2015	Product2	15-Oct	1
60	10/6/2015	Product2	15-Oct	1
61	10/6/2015	Product2	15-Oct	1
62	10/7/2015	Product2	15-Oct	1
63	10/6/2015	Product2	15-Oct	1
74	11/2/2015	Product3	15-Nov	1
75	11/5/2015	Product3	15-Nov	1
76	11/9/2015	Product3	15-Nov	1
77	11/9/2015	Product3	15-Nov	1
78	11/12/2015	Product3	15-Nov	1
79	11/16/2015	Product3	15-Nov	1
80	11/17/2015	Product4	15-Nov	1
81	11/16/2015	Product4	15-Nov	1
85	11/18/2015	Product4	15-Nov	1
86	11/18/2015	Product1	15-Nov	1
87	12/4/2015	Product3	15-Dec	1
88	12/8/2015	Product4	15-Dec	1
89	12/9/2015	Product4	15-Dec	1
90	12/10/2015	Product4	15-Dec	1
94	12/23/2015	Product1	15-Dec	1
95	12/10/2015	Product2	15-Dec	1
96	1/5/2016	Product4	16-Jan	1
97	1/6/2016	Product4	16-Jan	1
98	1/6/2016	Product4	16-Jan	1
99	1/6/2016	Product1	16-Jan	1
100	1/5/2016	Product2	16-Jan	1
101	1/8/2016	Product4	16-Jan	1
103	2/8/2016	Product4	16-Feb	1
104	2/29/2016	Product4	16-Feb	1
105	2/29/2016	Product4	16-Feb	1
106	2/29/2016	Product1	16-Feb	1
107	2/29/2016	Product2	16-Feb	1
108	2/26/2016	Product4	16-Feb	1
109	2/29/2016	Product4	16-Feb	1
110	2/2/2016	Product1	16-Feb	1
111	2/1/2016	Product2	16-Feb	1
